Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Segment,State,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,11/22/2019,US-2019-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Home Office,Texas,Appliances,80.00%,($124),5,$69 
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,11/22/2019,US-2019-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,Home Office,Texas,Binders,80.00%,($4),3,$3 
Office Supplies,Madison,United States,PK-19075,Pete Kriz,11/11/2018,CA-2018-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,Consumer,Wisconsin,Storage,0.00%,$13 ,6,$666 
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,5/13/2018,CA-2018-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,Consumer,Utah,Storage,0.00%,$10 ,2,$56 
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,OFF-AR-10003056,Newell 341,West,Consumer,California,Art,0.00%,$2 ,2,$9 
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,Consumer,California,Phones,20.00%,$16 ,3,$213 
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,Consumer,California,Binders,20.00%,$7 ,4,$23 
Office Supplies,Fremont,United States,KB-16585,Ken Black,12/9/2020,CA-2020-137330,68025,OFF-AR-10000246,Newell 318,Central,Corporate,Nebraska,Art,0.00%,$5 ,7,$19 
Office Supplies,Fremont,United States,KB-16585,Ken Black,12/9/2020,CA-2020-137330,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,Corporate,Nebraska,Appliances,0.00%,$16 ,7,$60 
Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,7/16/2021,US-2021-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",East,Consumer,Pennsylvania,Chairs,30.00%,($1),2,$71 
Furniture,Orem,United States,EB-13870,Emily Burns,9/25/2019,CA-2019-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,Consumer,Utah,Tables,0.00%,$240 ,3,"$1,045 "
Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,1/16/2020,CA-2020-121755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,Consumer,California,Binders,20.00%,$4 ,2,$12 
Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,1/16/2020,CA-2020-121755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,Consumer,California,Accessories,0.00%,$12 ,3,$91 
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,Consumer,Pennsylvania,Bookcases,50.00%,"($1,665)",7,"$3,083 "
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,Consumer,Pennsylvania,Binders,70.00%,($7),2,$10 
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,Consumer,Pennsylvania,Furnishings,20.00%,$16 ,3,$124 
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,Consumer,Pennsylvania,Envelopes,20.00%,$1 ,2,$3 
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,Consumer,Pennsylvania,Art,20.00%,$10 ,6,$86 
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,Consumer,Pennsylvania,Binders,70.00%,($6),6,$7 
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-AR-10001683,Lumber Crayons,East,Consumer,Pennsylvania,Art,20.00%,$4 ,2,$16 
Office Supplies,Houston,United States,MA-17560,Matt Abelman,10/19/2021,CA-2021-107727,77095,OFF-PA-10000249,Easy-staple paper,Central,Home Office,Texas,Paper,20.00%,$10 ,3,$29 
Technology,Richardson,United States,GH-14485,Gene Hale,12/8/2020,CA-2020-117590,75080,TEC-PH-10004977,GE 30524EE4,Central,Corporate,Texas,Phones,20.00%,$123 ,7,"$1,098 "
Furniture,Richardson,United States,GH-14485,Gene Hale,12/8/2020,CA-2020-117590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,Corporate,Texas,Furnishings,60.00%,($148),5,$191 
Office Supplies,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,Home Office,Texas,Envelopes,20.00%,$35 ,9,$113 
Furniture,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,Home Office,Texas,Bookcases,32.00%,($47),3,$532 
Furniture,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,Home Office,Texas,Chairs,30.00%,($15),3,$212 
Technology,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,Home Office,Texas,Phones,20.00%,$42 ,4,$371 
Technology,Naperville,United States,LC-16930,Linda Cazamias,9/10/2021,CA-2021-120999,60540,TEC-PH-10004093,Panasonic Kx-TS550,Central,Corporate,Illinois,Phones,20.00%,$17 ,4,$147 
Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,7/17/2020,CA-2020-101343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,Corporate,California,Storage,0.00%,$4 ,2,$78 
Office Supplies,Melbourne,United States,ES-14080,Erin Smith,9/19/2021,CA-2021-139619,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,Corporate,Florida,Storage,20.00%,$10 ,2,$96 
Technology,Eagan,United States,ON-18715,Odella Nelson,3/11/2020,CA-2020-118255,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,Corporate,Minnesota,Accessories,0.00%,$20 ,2,$46 
Office Supplies,Eagan,United States,ON-18715,Odella Nelson,3/11/2020,CA-2020-118255,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,Corporate,Minnesota,Binders,0.00%,$8 ,2,$17 
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,10/20/2018,CA-2018-146703,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Consumer,Michigan,Storage,0.00%,$8 ,4,$212 
Technology,Dover,United States,LH-16900,Lena Hernandez,6/20/2020,CA-2020-169194,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,Delaware,Accessories,0.00%,$5 ,3,$45 
Technology,Dover,United States,LH-16900,Lena Hernandez,6/20/2020,CA-2020-169194,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,Consumer,Delaware,Phones,0.00%,$6 ,2,$22 
Office Supplies,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,Consumer,Indiana,Binders,0.00%,$18 ,6,$38 
Office Supplies,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,OFF-LA-10002762,Avery 485,Central,Consumer,Indiana,Labels,0.00%,$35 ,6,$75 
Furniture,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,Consumer,Indiana,Furnishings,0.00%,$3 ,2,$6 
Furniture,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,Consumer,Indiana,Chairs,0.00%,$17 ,1,$90 
Office Supplies,New York City,United States,JM-15265,Janet Molinari,12/11/2020,CA-2020-105816,10024,OFF-FA-10000304,Advantus Push Pins,East,Corporate,New York,Fasteners,0.00%,$6 ,7,$15 
Technology,New York City,United States,JM-15265,Janet Molinari,12/11/2020,CA-2020-105816,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,East,Corporate,New York,Phones,0.00%,$299 ,5,"$1,030 "
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-ST-10000604,Home/Office Personal File Carts,East,Consumer,New York,Storage,0.00%,$52 ,6,$209 
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-PA-10001569,Xerox 232,East,Consumer,New York,Paper,0.00%,$16 ,5,$32 
Furniture,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,FUR-CH-10003968,Novimex Turbo Task Chair,East,Consumer,New York,Chairs,10.00%,$7 ,5,$319 
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",East,Consumer,New York,Paper,0.00%,$7 ,2,$15 
Technology,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,New York,Accessories,0.00%,$3 ,2,$30 
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-BI-10001460,Plastic Binding Combs,East,Consumer,New York,Binders,20.00%,$16 ,4,$48 
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,East,Consumer,New York,Art,0.00%,$1 ,1,$2 
Technology,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,Consumer,California,Accessories,0.00%,$6 ,2,$14 
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,Consumer,California,Binders,20.00%,$9 ,6,$26 
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,OFF-PA-10003892,Xerox 1943,West,Consumer,California,Paper,0.00%,$69 ,3,$147 
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,Consumer,California,Furnishings,0.00%,$22 ,4,$80 
Furniture,Chicago,United States,PS-18970,Paul Stevenson,4/30/2019,US-2019-164175,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,Home Office,Illinois,Chairs,30.00%,($15),5,$213 
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,12/5/2018,CA-2018-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,Corporate,Arizona,Art,20.00%,$111 ,8,"$1,113 "
Technology,Gilbert,United States,BS-11590,Brendan Sweed,12/5/2018,CA-2018-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,Corporate,Arizona,Phones,20.00%,$63 ,4,$168 
Office Supplies,Springfield,United States,KD-16270,Karen Daniels,6/4/2020,CA-2020-119823,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,Consumer,Virginia,Paper,0.00%,$36 ,2,$76 
Office Supplies,New York City,United States,HM-14980,Henry MacAllister,9/18/2020,CA-2020-106075,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,East,Consumer,New York,Binders,20.00%,$2 ,1,$5 
Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,9/14/2021,CA-2021-114440,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,Consumer,Michigan,Paper,0.00%,$9 ,3,$19 
Furniture,Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,Consumer,Tennessee,Chairs,20.00%,($114),8,$832 
Furniture,Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,Consumer,Tennessee,Furnishings,20.00%,$1 ,2,$97 
Office Supplies,Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,Consumer,Tennessee,Storage,20.00%,($18),1,$73 
Office Supplies,Houston,United States,KB-16600,Ken Brennan,12/9/2021,US-2021-118038,77041,OFF-BI-10004182,Economy Binders,Central,Corporate,Texas,Binders,80.00%,($2),3,$1 
Furniture,Houston,United States,KB-16600,Ken Brennan,12/9/2021,US-2021-118038,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Central,Corporate,Texas,Furnishings,60.00%,($6),3,$10 
Office Supplies,Houston,United States,KB-16600,Ken Brennan,12/9/2021,US-2021-118038,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,Corporate,Texas,Storage,20.00%,$3 ,3,$27 
Furniture,Houston,United States,JE-15745,Joel Eaton,11/26/2018,US-2018-147606,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,Consumer,Texas,Furnishings,60.00%,($14),5,$19 
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,6/12/2020,CA-2020-127208,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,Corporate,Alabama,Appliances,0.00%,$56 ,1,$208 
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,6/12/2020,CA-2020-127208,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,South,Corporate,Alabama,Binders,0.00%,$8 ,3,$17 
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,10/12/2018,CA-2018-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,Consumer,California,Art,0.00%,$4 ,5,$15 
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,10/12/2018,CA-2018-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,Consumer,California,Storage,0.00%,$6 ,1,$21 
Office Supplies,Durham,United States,JC-16105,Julie Creighton,9/3/2019,CA-2019-149734,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,Corporate,North Carolina,Envelopes,20.00%,$63 ,7,$201 
Office Supplies,Chicago,United States,CS-12400,Christopher Schild,11/13/2021,US-2021-119662,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Central,Home Office,Illinois,Storage,20.00%,($49),3,$230 
Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,5/28/2021,CA-2021-140088,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,South,Consumer,South Carolina,Chairs,0.00%,$33 ,2,$302 
Technology,Rochester,United States,PG-18895,Paul Gonzalez,10/26/2021,CA-2021-155558,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,Consumer,Minnesota,Accessories,0.00%,$7 ,1,$20 
Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,10/26/2021,CA-2021-155558,55901,OFF-LA-10000134,Avery 511,Central,Consumer,Minnesota,Labels,0.00%,$3 ,2,$6 
Office Supplies,Houston,United States,GM-14455,Gary Mitchum,4/5/2020,CA-2020-159695,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Central,Home Office,Texas,Storage,20.00%,$14 ,7,$158 
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,9/17/2020,CA-2020-109806,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,West,Corporate,California,Art,0.00%,$7 ,3,$20 
Technology,Los Angeles,United States,JS-15685,Jim Sink,9/17/2020,CA-2020-109806,90036,TEC-PH-10004093,Panasonic Kx-TS550,West,Corporate,California,Phones,20.00%,$8 ,2,$74 
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,9/17/2020,CA-2020-109806,90036,OFF-PA-10000304,Xerox 1995,West,Corporate,California,Paper,0.00%,$3 ,1,$6 
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,OFF-PA-10003177,Xerox 1999,Central,Consumer,Minnesota,Paper,0.00%,$6 ,2,$13 
Furniture,Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Central,Consumer,Minnesota,Furnishings,0.00%,$17 ,3,$53 
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,Central,Consumer,Minnesota,Binders,0.00%,$16 ,2,$33 
Office Supplies,Portland,United States,RB-19705,Roger Barcio,11/6/2021,US-2021-109484,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,West,Home Office,Oregon,Binders,70.00%,($4),1,$6 
Furniture,New York City,United States,PN-18775,Parhena Norris,11/9/2021,CA-2021-161018,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,East,Home Office,New York,Furnishings,0.00%,$41 ,7,$97 
Office Supplies,San Francisco,United States,KD-16345,Katherine Ducich,6/17/2021,CA-2021-157833,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,West,Consumer,California,Binders,20.00%,$18 ,3,$51 
Office Supplies,Saint Paul,United States,ER-13855,Elpida Rittenbach,9/6/2020,CA-2020-149223,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Central,Corporate,Minnesota,Appliances,0.00%,$23 ,6,$78 
Office Supplies,Chicago,United States,RB-19465,Rick Bensley,8/29/2020,CA-2020-158568,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Central,Home Office,Illinois,Paper,20.00%,$23 ,7,$65 
Technology,Chicago,United States,RB-19465,Rick Bensley,8/29/2020,CA-2020-158568,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,Home Office,Illinois,Accessories,20.00%,($11),3,$96 
Office Supplies,Chicago,United States,RB-19465,Rick Bensley,8/29/2020,CA-2020-158568,60610,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Central,Home Office,Illinois,Binders,80.00%,($3),3,$2 
Office Supplies,Rochester,United States,GZ-14470,Gary Zandusky,12/1/2020,CA-2020-129903,55901,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,Consumer,Minnesota,Paper,0.00%,$12 ,4,$24 
Technology,Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,West,Consumer,Colorado,Accessories,20.00%,($27),6,$239 
Furniture,Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",West,Consumer,Colorado,Furnishings,20.00%,($4),3,$102 
Office Supplies,Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,Consumer,Colorado,Binders,70.00%,($26),3,$37 
Technology,Charlotte,United States,JM-15250,Janet Martin,11/23/2021,CA-2021-119004,28205,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,South,Consumer,North Carolina,Accessories,20.00%,$18 ,8,$74 
Technology,Charlotte,United States,JM-15250,Janet Martin,11/23/2021,CA-2021-119004,28205,TEC-PH-10002844,Speck Products Candyshell Flip Case,South,Consumer,North Carolina,Phones,20.00%,$2 ,1,$28 
Office Supplies,Charlotte,United States,JM-15250,Janet Martin,11/23/2021,CA-2021-119004,28205,OFF-AR-10000390,Newell Chalk Holder,South,Consumer,North Carolina,Art,20.00%,$1 ,1,$3 
Technology,Orland Park,United States,PA-19060,Pete Armstrong,10/15/2019,CA-2019-129476,60462,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Central,Home Office,Illinois,Accessories,20.00%,$68 ,5,$340 
Furniture,New York City,United States,CV-12805,Cynthia Voltz,12/25/2021,CA-2021-146780,10035,FUR-FU-10001934,Magnifier Swing Arm Lamp,East,Corporate,New York,Furnishings,0.00%,$11 ,2,$42 
Office Supplies,Urbandale,United States,CL-12565,Clay Ludtke,11/3/2020,CA-2020-128867,50322,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Central,Consumer,Iowa,Art,0.00%,$23 ,2,$76 
Office Supplies,Urbandale,United States,CL-12565,Clay Ludtke,11/3/2020,CA-2020-128867,50322,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Central,Consumer,Iowa,Binders,0.00%,$13 ,6,$27 
Office Supplies,Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",East,Consumer,Ohio,Fasteners,20.00%,$15 ,14,$40 
Office Supplies,Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",East,Consumer,Ohio,Envelopes,20.00%,$2 ,2,$5 
Office Supplies,Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-PA-10004965,Xerox 1921,East,Consumer,Ohio,Paper,20.00%,$7 ,3,$24 
Office Supplies,Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",East,Consumer,Ohio,Envelopes,20.00%,$44 ,6,$130 
Furniture,Seattle,United States,DK-13090,Dave Kipp,3/2/2019,CA-2019-110457,98103,FUR-TA-10001768,Hon Racetrack Conference Tables,West,Consumer,Washington,Tables,0.00%,$165 ,3,$788 
Office Supplies,Bristol,United States,GG-14650,Greg Guthrie,4/5/2019,US-2019-136476,37620,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,South,Corporate,Tennessee,Binders,70.00%,($116),1,$158 
Furniture,Wilmington,United States,SC-20725,Steven Cartwright,6/12/2020,CA-2020-103730,19805,FUR-FU-10002157,Artistic Insta-Plaque,East,Consumer,Delaware,Furnishings,0.00%,$18 ,3,$47 
Office Supplies,Wilmington,United States,SC-20725,Steven Cartwright,6/12/2020,CA-2020-103730,19805,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,East,Consumer,Delaware,Binders,0.00%,$14 ,4,$31 
