City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Ship Date,Ship Mode
San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,OFF-AR-10003056,Newell 341,9/1/2018,Second Class
San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,9/1/2018,Second Class
San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",9/1/2018,Second Class
Fremont,United States,KB-16585,Ken Black,12/9/2020,CA-2020-137330,68025,OFF-AR-10000246,Newell 318,12/13/2020,Standard Class
Fremont,United States,KB-16585,Ken Black,12/9/2020,CA-2020-137330,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",12/13/2020,Standard Class
Philadelphia,United States,SF-20065,Sandra Flanagan,7/16/2021,US-2021-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",7/18/2021,Second Class
Orem,United States,EB-13870,Emily Burns,9/25/2019,CA-2019-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,9/30/2019,Standard Class
Los Angeles,United States,EH-13945,Eric Hoffmann,1/16/2020,CA-2020-121755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,1/20/2020,Second Class
Los Angeles,United States,EH-13945,Eric Hoffmann,1/16/2020,CA-2020-121755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,1/20/2020,Second Class
Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",9/21/2019,Standard Class
Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,9/21/2019,Standard Class
Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",9/21/2019,Standard Class
Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-EN-10001509,Poly String Tie Envelopes,9/21/2019,Standard Class
Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",9/21/2019,Standard Class
Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",9/21/2019,Standard Class
Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-AR-10001683,Lumber Crayons,9/21/2019,Standard Class
Houston,United States,MA-17560,Matt Abelman,10/19/2021,CA-2021-107727,77095,OFF-PA-10000249,Easy-staple paper,10/23/2021,Second Class
Richardson,United States,GH-14485,Gene Hale,12/8/2020,CA-2020-117590,75080,TEC-PH-10004977,GE 30524EE4,12/10/2020,First Class
Richardson,United States,GH-14485,Gene Hale,12/8/2020,CA-2020-117590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",12/10/2020,First Class
Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",12/31/2019,Standard Class
Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",12/31/2019,Standard Class
Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",12/31/2019,Standard Class
Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,12/31/2019,Standard Class
Naperville,United States,LC-16930,Linda Cazamias,9/10/2021,CA-2021-120999,60540,TEC-PH-10004093,Panasonic Kx-TS550,9/15/2021,Standard Class
Los Angeles,United States,RA-19885,Ruben Ausman,7/17/2020,CA-2020-101343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",7/22/2020,Standard Class
Melbourne,United States,ES-14080,Erin Smith,9/19/2021,CA-2021-139619,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",9/23/2021,Standard Class
Eagan,United States,ON-18715,Odella Nelson,3/11/2020,CA-2020-118255,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",3/13/2020,First Class
Eagan,United States,ON-18715,Odella Nelson,3/11/2020,CA-2020-118255,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,3/13/2020,First Class
Westland,United States,PO-18865,Patrick O'Donnell,10/20/2018,CA-2018-146703,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",10/25/2018,Second Class
Dover,United States,LH-16900,Lena Hernandez,6/20/2020,CA-2020-169194,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,6/25/2020,Standard Class
Dover,United States,LH-16900,Lena Hernandez,6/20/2020,CA-2020-169194,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6/25/2020,Standard Class
New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",4/22/2019,Standard Class
New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,OFF-LA-10002762,Avery 485,4/22/2019,Standard Class
New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,4/22/2019,Standard Class
New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",4/22/2019,Standard Class
New York City,United States,JM-15265,Janet Molinari,12/11/2020,CA-2020-105816,10024,OFF-FA-10000304,Advantus Push Pins,12/17/2020,Standard Class
New York City,United States,JM-15265,Janet Molinari,12/11/2020,CA-2020-105816,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,12/17/2020,Standard Class
Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-ST-10000604,Home/Office Personal File Carts,6/18/2020,First Class
Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-PA-10001569,Xerox 232,6/18/2020,First Class
Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,FUR-CH-10003968,Novimex Turbo Task Chair,6/18/2020,First Class
Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",6/18/2020,First Class
Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,6/18/2020,First Class
Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-BI-10001460,Plastic Binding Combs,6/18/2020,First Class
Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,6/18/2020,First Class
Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",11/30/2019,Standard Class
Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",11/30/2019,Standard Class
Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,OFF-PA-10003892,Xerox 1943,11/30/2019,Standard Class
Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,11/30/2019,Standard Class
Chicago,United States,PS-18970,Paul Stevenson,4/30/2019,US-2019-164175,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",5/5/2019,Standard Class
Gilbert,United States,BS-11590,Brendan Sweed,12/5/2018,CA-2018-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",12/10/2018,Standard Class
Gilbert,United States,BS-11590,Brendan Sweed,12/5/2018,CA-2018-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,12/10/2018,Standard Class
Springfield,United States,KD-16270,Karen Daniels,6/4/2020,CA-2020-119823,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",6/6/2020,First Class
New York City,United States,HM-14980,Henry MacAllister,9/18/2020,CA-2020-106075,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,9/23/2020,Standard Class
Jackson,United States,TB-21520,Tracy Blumstein,9/14/2021,CA-2021-114440,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",9/17/2021,Second Class
Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,5/2/2019,Standard Class
Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",5/2/2019,Standard Class
Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,5/2/2019,Standard Class
Houston,United States,KB-16600,Ken Brennan,12/9/2021,US-2021-118038,77041,OFF-BI-10004182,Economy Binders,12/11/2021,First Class
Houston,United States,KB-16600,Ken Brennan,12/9/2021,US-2021-118038,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",12/11/2021,First Class
Houston,United States,KB-16600,Ken Brennan,12/9/2021,US-2021-118038,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",12/11/2021,First Class
Houston,United States,JE-15745,Joel Eaton,11/26/2018,US-2018-147606,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",12/1/2018,Second Class
Decatur,United States,SC-20770,Stewart Carmichael,6/12/2020,CA-2020-127208,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",6/15/2020,First Class
Decatur,United States,SC-20770,Stewart Carmichael,6/12/2020,CA-2020-127208,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,6/15/2020,First Class
San Francisco,United States,DN-13690,Duane Noonan,10/12/2018,CA-2018-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",10/16/2018,Standard Class
San Francisco,United States,DN-13690,Duane Noonan,10/12/2018,CA-2018-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",10/16/2018,Standard Class
Durham,United States,JC-16105,Julie Creighton,9/3/2019,CA-2019-149734,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,9/8/2019,Standard Class
Chicago,United States,CS-12400,Christopher Schild,11/13/2021,US-2021-119662,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,11/16/2021,First Class
Columbia,United States,PO-18865,Patrick O'Donnell,5/28/2021,CA-2021-140088,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,5/30/2021,Second Class
Rochester,United States,PG-18895,Paul Gonzalez,10/26/2021,CA-2021-155558,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,11/2/2021,Standard Class
Rochester,United States,PG-18895,Paul Gonzalez,10/26/2021,CA-2021-155558,55901,OFF-LA-10000134,Avery 511,11/2/2021,Standard Class
Houston,United States,GM-14455,Gary Mitchum,4/5/2020,CA-2020-159695,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,4/10/2020,Second Class
Los Angeles,United States,JS-15685,Jim Sink,9/17/2020,CA-2020-109806,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,9/22/2020,Standard Class
Los Angeles,United States,JS-15685,Jim Sink,9/17/2020,CA-2020-109806,90036,TEC-PH-10004093,Panasonic Kx-TS550,9/22/2020,Standard Class
Los Angeles,United States,JS-15685,Jim Sink,9/17/2020,CA-2020-109806,90036,OFF-PA-10000304,Xerox 1995,9/22/2020,Standard Class
Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,OFF-PA-10003177,Xerox 1999,2/5/2019,Second Class
Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",2/5/2019,Second Class
Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,2/5/2019,Second Class
Portland,United States,RB-19705,Roger Barcio,11/6/2021,US-2021-109484,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,11/12/2021,Standard Class
New York City,United States,PN-18775,Parhena Norris,11/9/2021,CA-2021-161018,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,11/11/2021,Second Class
San Francisco,United States,KD-16345,Katherine Ducich,6/17/2021,CA-2021-157833,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,6/20/2021,First Class
Saint Paul,United States,ER-13855,Elpida Rittenbach,9/6/2020,CA-2020-149223,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,9/11/2020,Standard Class
Chicago,United States,RB-19465,Rick Bensley,8/29/2020,CA-2020-158568,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,9/2/2020,Standard Class
Chicago,United States,RB-19465,Rick Bensley,8/29/2020,CA-2020-158568,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,9/2/2020,Standard Class
Chicago,United States,RB-19465,Rick Bensley,8/29/2020,CA-2020-158568,60610,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,9/2/2020,Standard Class
Rochester,United States,GZ-14470,Gary Zandusky,12/1/2020,CA-2020-129903,55901,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),12/4/2020,Second Class
Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,11/17/2019,Standard Class
Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",11/17/2019,Standard Class
Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",11/17/2019,Standard Class
Charlotte,United States,JM-15250,Janet Martin,11/23/2021,CA-2021-119004,28205,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,11/28/2021,Standard Class
Charlotte,United States,JM-15250,Janet Martin,11/23/2021,CA-2021-119004,28205,TEC-PH-10002844,Speck Products Candyshell Flip Case,11/28/2021,Standard Class
Charlotte,United States,JM-15250,Janet Martin,11/23/2021,CA-2021-119004,28205,OFF-AR-10000390,Newell Chalk Holder,11/28/2021,Standard Class
Orland Park,United States,PA-19060,Pete Armstrong,10/15/2019,CA-2019-129476,60462,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,10/20/2019,Standard Class
New York City,United States,CV-12805,Cynthia Voltz,12/25/2021,CA-2021-146780,10035,FUR-FU-10001934,Magnifier Swing Arm Lamp,12/30/2021,Standard Class
Urbandale,United States,CL-12565,Clay Ludtke,11/3/2020,CA-2020-128867,50322,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",11/10/2020,Standard Class
Urbandale,United States,CL-12565,Clay Ludtke,11/3/2020,CA-2020-128867,50322,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",11/10/2020,Standard Class
Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",8/27/2018,Second Class
Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",8/27/2018,Second Class
Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-PA-10004965,Xerox 1921,8/27/2018,Second Class
Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",8/27/2018,Second Class
Seattle,United States,DK-13090,Dave Kipp,3/2/2019,CA-2019-110457,98103,FUR-TA-10001768,Hon Racetrack Conference Tables,3/6/2019,Standard Class
Bristol,United States,GG-14650,Greg Guthrie,4/5/2019,US-2019-136476,37620,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,4/10/2019,Standard Class
Wilmington,United States,SC-20725,Steven Cartwright,6/12/2020,CA-2020-103730,19805,FUR-FU-10002157,Artistic Insta-Plaque,6/15/2020,First Class
Wilmington,United States,SC-20725,Steven Cartwright,6/12/2020,CA-2020-103730,19805,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,6/15/2020,First Class
Wilmington,United States,SC-20725,Steven Cartwright,6/12/2020,CA-2020-103730,19805,OFF-ST-10000777,"Companion Letter/Legal File, Black",6/15/2020,First Class
Wilmington,United States,SC-20725,Steven Cartwright,6/12/2020,CA-2020-103730,19805,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,6/15/2020,First Class
Wilmington,United States,SC-20725,Steven Cartwright,6/12/2020,CA-2020-103730,19805,TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,6/15/2020,First Class
Houston,United States,AD-10180,Alan Dominguez,12/26/2018,US-2018-152030,77041,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,12/28/2018,Second Class
Bloomington,United States,PF-19165,Philip Fox,9/20/2018,US-2018-134614,61701,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,9/25/2018,Standard Class
Phoenix,United States,TS-21610,Troy Staebel,11/5/2021,US-2021-107272,85023,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",11/12/2021,Standard Class
Phoenix,United States,TS-21610,Troy Staebel,11/5/2021,US-2021-107272,85023,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",11/12/2021,Standard Class
Los Angeles,United States,LS-16975,Lindsay Shagiari,11/6/2020,US-2020-125969,90004,FUR-CH-10001146,"Global Task Chair, Black",11/10/2020,Second Class
Los Angeles,United States,LS-16975,Lindsay Shagiari,11/6/2020,US-2020-125969,90004,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,11/10/2020,Second Class
Columbus,United States,DW-13585,Dorothy Wardle,2/2/2021,US-2021-164147,43229,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,2/5/2021,First Class
Columbus,United States,DW-13585,Dorothy Wardle,2/2/2021,US-2021-164147,43229,OFF-PA-10002377,Xerox 1916,2/5/2021,First Class
Columbus,United States,DW-13585,Dorothy Wardle,2/2/2021,US-2021-164147,43229,OFF-FA-10002780,Staples,2/5/2021,First Class
Roseville,United States,LC-16885,Lena Creighton,10/13/2020,CA-2020-145583,95661,OFF-PA-10001804,Xerox 195,10/19/2020,Standard Class
Roseville,United States,LC-16885,Lena Creighton,10/13/2020,CA-2020-145583,95661,OFF-PA-10001736,Xerox 1880,10/19/2020,Standard Class
Roseville,United States,LC-16885,Lena Creighton,10/13/2020,CA-2020-145583,95661,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",10/19/2020,Standard Class
Roseville,United States,LC-16885,Lena Creighton,10/13/2020,CA-2020-145583,95661,OFF-FA-10002988,Ideal Clamps,10/19/2020,Standard Class
Roseville,United States,LC-16885,Lena Creighton,10/13/2020,CA-2020-145583,95661,OFF-BI-10004781,GBC Wire Binding Strips,10/19/2020,Standard Class
Roseville,United States,LC-16885,Lena Creighton,10/13/2020,CA-2020-145583,95661,OFF-SU-10001218,Fiskars Softgrip Scissors,10/19/2020,Standard Class
Roseville,United States,LC-16885,Lena Creighton,10/13/2020,CA-2020-145583,95661,FUR-FU-10001706,Longer-Life Soft White Bulbs,10/19/2020,Standard Class
Philadelphia,United States,JD-15895,Jonathan Doherty,9/5/2020,CA-2020-110366,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",9/7/2020,Second Class
San Francisco,United States,SH-19975,Sally Hughsby,9/18/2021,CA-2021-106180,94122,OFF-AR-10000940,Newell 343,9/23/2021,Standard Class
San Francisco,United States,SH-19975,Sally Hughsby,9/18/2021,CA-2021-106180,94122,OFF-EN-10004030,Convenience Packs of Business Envelopes,9/23/2021,Standard Class
San Francisco,United States,SH-19975,Sally Hughsby,9/18/2021,CA-2021-106180,94122,OFF-PA-10004327,Xerox 1911,9/23/2021,Standard Class
Independence,United States,SG-20080,Sandra Glassco,12/22/2021,CA-2021-155376,64055,OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,12/27/2021,Standard Class
Pasadena,United States,HA-14920,Helen Andreada,9/7/2019,CA-2019-110744,91104,OFF-ST-10003656,Safco Industrial Wire Shelving,9/12/2019,Standard Class
Newark,United States,MG-17680,Maureen Gastineau,10/22/2018,CA-2018-110072,43055,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",10/28/2018,Standard Class
Franklin,United States,JE-16165,Justin Ellison,12/5/2020,CA-2020-114489,53132,TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,12/9/2020,Standard Class
Franklin,United States,JE-16165,Justin Ellison,12/5/2020,CA-2020-114489,53132,TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,12/9/2020,Standard Class
Franklin,United States,JE-16165,Justin Ellison,12/5/2020,CA-2020-114489,53132,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",12/9/2020,Standard Class
Franklin,United States,JE-16165,Justin Ellison,12/5/2020,CA-2020-114489,53132,OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,12/9/2020,Standard Class
Scottsdale,United States,TW-21025,Tamara Willingham,3/13/2020,CA-2020-158834,85254,OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,3/16/2020,First Class
Scottsdale,United States,TW-21025,Tamara Willingham,3/13/2020,CA-2020-158834,85254,TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,3/16/2020,First Class
San Jose,United States,SP-20650,Stephanie Phelps,5/31/2019,CA-2019-124919,95123,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,6/2/2019,First Class
San Jose,United States,SP-20650,Stephanie Phelps,5/31/2019,CA-2019-124919,95123,OFF-PA-10002254,Xerox 1883,6/2/2019,First Class
San Jose,United States,SP-20650,Stephanie Phelps,5/31/2019,CA-2019-124919,95123,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",6/2/2019,First Class
Seattle,United States,NK-18490,Neil Knudson,5/28/2019,CA-2019-118948,98105,OFF-AR-10001547,Newell 311,6/3/2019,Standard Class
